animal,action,pred_action,shear,shear_pred,shear_prob
cat,shear,pet,1,0,0.1685
sheep,pet,shear,0,1,0.0828
dog,feed,pet,0,0,0.3398
cat,feed,feed,0,0,0.0001
dog,feed,shear,0,1,0.047
sheep,shear,shear,1,1,0.7724
dog,pet,pet,0,0,0.1902
cat,feed,feed,0,0,0.254
cat,feed,feed,0,0,0.6754
dog,feed,shear,0,1,0.0962
cat,feed,shear,0,1,0.783
cat,pet,shear,0,1,0.5562
dog,pet,pet,0,0,0.5808
dog,feed,shear,0,1,0.4203
dog,pet,pet,0,0,0.3844
cat,feed,feed,0,0,0.1631
cat,pet,pet,0,0,0.2307
dog,pet,pet,0,0,0.0808
dog,feed,pet,0,0,0.6684
cat,pet,pet,0,0,0.3769
dog,shear,pet,1,0,0.6611
cat,pet,shear,0,1,0.5922
cat,pet,feed,0,0,0.59
dog,feed,shear,0,1,0.4525
cat,pet,feed,0,0,0.8941
dog,pet,pet,0,0,0.154
dog,pet,pet,0,0,0.1067
cat,feed,feed,0,0,0.0575
cat,feed,pet,0,0,0.7786
dog,feed,pet,0,0,0.1915
cat,pet,feed,0,0,0.0269
sheep,shear,pet,1,0,0.6958
dog,feed,shear,0,1,0.1457
cat,feed,shear,0,1,0.0903
sheep,shear,shear,1,1,0.9967
dog,feed,feed,0,0,0.9946
sheep,pet,pet,0,0,0.0552
dog,feed,shear,0,1,0.4183
sheep,shear,shear,1,1,0.705
dog,pet,feed,0,0,0.6282
cat,feed,pet,0,0,0.3996
cat,feed,shear,0,1,0.0501
dog,pet,pet,0,0,0.7967
dog,shear,feed,1,0,0.7722
cat,feed,shear,0,1,0.236
sheep,feed,pet,0,0,0.4181
dog,pet,pet,0,0,0.0924
cat,feed,feed,0,0,0.0384
dog,feed,feed,0,0,0.9002
sheep,shear,shear,1,1,0.9345
dog,pet,pet,0,0,0.0363
dog,pet,pet,0,0,0.2481
cat,pet,shear,0,1,0.3286
cat,feed,shear,0,1,0.3037
cat,pet,feed,0,0,0.4769
cat,feed,feed,0,0,0.0469
cat,feed,feed,0,0,0.3772
dog,feed,feed,0,0,0.4335
dog,shear,pet,1,0,0.9326
dog,feed,shear,0,1,0.2604
cat,feed,pet,0,0,0.0014
sheep,pet,pet,0,0,0.0006
cat,feed,pet,0,0,0.0669
sheep,feed,pet,0,0,0.4231
dog,feed,pet,0,0,0.0264
dog,feed,feed,0,0,0.0152
sheep,shear,shear,1,1,0.8029
dog,feed,pet,0,0,0.1298
cat,shear,feed,1,0,0.3857
dog,shear,pet,1,0,0.6913
cat,pet,pet,0,0,0.0127
cat,shear,feed,1,0,0.6311
sheep,pet,shear,0,1,0.2741
cat,pet,shear,0,1,0.6038
sheep,feed,pet,0,0,0.3055
cat,pet,shear,0,1,0.0056
dog,pet,shear,0,1,0.7013
dog,pet,pet,0,0,0.2646
sheep,shear,shear,1,1,0.9125
sheep,feed,pet,0,0,0.1609
cat,feed,shear,0,1,0.9124
cat,feed,feed,0,0,0.0001
dog,feed,shear,0,1,0.2972
sheep,feed,pet,0,0,0.0085
dog,feed,feed,0,0,0.4812
cat,feed,feed,0,0,0.0001
dog,feed,shear,0,1,0.778
cat,feed,feed,0,0,0.6007
cat,feed,feed,0,0,0.6882
cat,pet,shear,0,1,0.0003
dog,pet,shear,0,1,0.8508
dog,shear,feed,1,0,0.675
cat,pet,pet,0,0,0.0744
cat,feed,feed,0,0,0.6051
sheep,shear,shear,1,1,0.9711
sheep,feed,shear,0,1,0.3472
dog,feed,feed,0,0,0.9573
sheep,pet,pet,0,0,0.2076
cat,feed,shear,0,1,0.3448
sheep,shear,pet,1,0,0.9918
sheep,feed,feed,0,0,0.0977
cat,feed,feed,0,0,0.8512
cat,feed,feed,0,0,0.0632
dog,feed,feed,0,0,0.4244
cat,shear,feed,1,0,0.9342
cat,feed,feed,0,0,0.4126
cat,feed,feed,0,0,0.2384
cat,pet,feed,0,0,0.1212
dog,pet,feed,0,0,0.0387
sheep,feed,pet,0,0,0.0494
dog,feed,pet,0,0,0.6091
cat,feed,feed,0,0,0.0562
sheep,feed,shear,0,1,0.0422
dog,feed,shear,0,1,0.5142
dog,feed,shear,0,1,0.3489
dog,pet,pet,0,0,0.1297
dog,feed,shear,0,1,0.1531
dog,feed,shear,0,1,0.5006
cat,pet,pet,0,0,0.5836
cat,pet,pet,0,0,0.2753
dog,pet,pet,0,0,0.4647
dog,pet,pet,0,0,0.1626
cat,feed,pet,0,0,0.3517
sheep,shear,shear,1,1,0.994
cat,pet,pet,0,0,0.4175
sheep,shear,shear,1,1,0.9917
sheep,shear,shear,1,1,0.7342
dog,feed,feed,0,0,0.2782
cat,feed,feed,0,0,0.5589
cat,pet,pet,0,0,0.2659
sheep,feed,pet,0,0,0.0051
dog,feed,feed,0,0,0.8791
dog,pet,pet,0,0,0.3521
dog,feed,pet,0,0,0.0054
dog,feed,shear,0,1,0.0537
dog,shear,shear,1,1,0.4909
dog,feed,shear,0,1,0.4733
sheep,pet,feed,0,0,0.1336
cat,pet,pet,0,0,0.7383
cat,feed,feed,0,0,0.2661
sheep,shear,shear,1,1,0.9916
cat,pet,pet,0,0,0.7758
dog,feed,feed,0,0,0.5372
dog,shear,shear,1,1,0.8504
cat,feed,feed,0,0,0.6593
sheep,shear,shear,1,1,0.9584
cat,feed,feed,0,0,0.9179
cat,pet,pet,0,0,0.506
cat,pet,pet,0,0,0.7675
dog,shear,shear,1,1,0.804
dog,feed,shear,0,1,0.1358
cat,feed,feed,0,0,0.4178
sheep,shear,feed,1,0,0.8467
sheep,feed,shear,0,1,0.0575
cat,shear,pet,1,0,0.9854
dog,pet,pet,0,0,0.4308
sheep,pet,shear,0,1,0.1416
cat,pet,pet,0,0,0.0294
cat,feed,feed,0,0,0.0823
dog,feed,shear,0,1,0.16
dog,feed,pet,0,0,0.2519
cat,pet,pet,0,0,0.0053
cat,shear,pet,1,0,0.6166
cat,shear,shear,1,1,0.9742
cat,feed,feed,0,0,0.4921
dog,pet,feed,0,0,0.9683
cat,feed,feed,0,0,0.3213
dog,feed,feed,0,0,0.1876
cat,feed,feed,0,0,0.0439
dog,feed,shear,0,1,0.3895
cat,feed,feed,0,0,0.0106
dog,pet,pet,0,0,0.291
dog,feed,pet,0,0,0.8683
sheep,pet,shear,0,1,0.1378
cat,pet,pet,0,0,0.7454
dog,shear,shear,1,1,0.9926
sheep,pet,pet,0,0,0.1043
dog,feed,shear,0,1,0.3902
dog,pet,feed,0,0,0.2689
cat,pet,feed,0,0,0.9796
sheep,feed,feed,0,0,0.3948
dog,feed,feed,0,0,0.0447
dog,feed,pet,0,0,0.4338
sheep,shear,pet,1,0,0.9971
sheep,shear,shear,1,1,0.8664
sheep,feed,feed,0,0,0.025
cat,feed,feed,0,0,0.3592
dog,feed,feed,0,0,0.1354
cat,feed,feed,0,0,0.1118
dog,pet,feed,0,0,0.988
sheep,feed,pet,0,0,0.0045
cat,shear,shear,1,1,0.4761
cat,feed,pet,0,0,0.0104
cat,feed,feed,0,0,0.0631
cat,pet,shear,0,1,0.5712
cat,feed,feed,0,0,0.0208
dog,pet,pet,0,0,0.1371
cat,pet,pet,0,0,0.7693
dog,feed,feed,0,0,0.2228
cat,feed,feed,0,0,0.0034
cat,pet,feed,0,0,0.5663
dog,pet,feed,0,0,0.3835
cat,pet,feed,0,0,0.1148
sheep,shear,shear,1,1,0.5168
dog,feed,shear,0,1,0.8084
sheep,shear,shear,1,1,0.417
cat,feed,shear,0,1,0.7808
cat,pet,pet,0,0,0.8244
dog,feed,feed,0,0,0.3807
dog,feed,pet,0,0,0.5269
cat,feed,feed,0,0,0.4715
dog,feed,shear,0,1,0.4434
dog,feed,shear,0,1,0.269
cat,shear,shear,1,1,0.8794
sheep,feed,pet,0,0,0.8243
cat,shear,shear,1,1,0.9995
cat,pet,shear,0,1,0.3232
dog,feed,shear,0,1,0.2424
sheep,shear,feed,1,0,0.972
sheep,shear,shear,1,1,0.9712
cat,pet,feed,0,0,0.3436
sheep,pet,pet,0,0,0.2688
cat,feed,pet,0,0,0.1137
cat,pet,shear,0,1,0.2733
dog,pet,pet,0,0,0.2868
dog,pet,pet,0,0,0.1125
sheep,pet,pet,0,0,0.6448
sheep,feed,shear,0,1,0.0032
dog,shear,shear,1,1,0.337
